Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,7,0,,,,2.5,0,0,0.5,0.0
1,1,1,0,,,,5.1,0,0,1.1,0.0
1,2,1,0,,,,5.1,0,0,1.1,0.0
1,3,1,0,,,,5.0,0,0,1.1,0.0
1,4,1,0,,,,5.0,0,0,1.1,0.0
1,5,1,0,,,,5.1,0,0,1.1,0.0
1,6,1,0,,,,5.0,0,0,1.1,0.0
1,7,1,0,,,,5.0,0,0,1.1,0.0
1,8,1,0,,,,4.7,0,0,1.0,2.0
1,9,1,0,,,,4.4,0,0,1.1,51.0
1,10,1,0,,,,4.4,0,0,1.1,163.0
1,11,1,0,,,,4.4,0,0,1.1,143.0
1,12,1,0,,,,4.5,0,0,1.1,81.0
1,13,1,0,,,,4.6,0,0,1.1,44.0
1,14,1,0,,,,4.5,0,0,1.1,15.0
1,15,1,0,,,,4.6,0,0,1.1,0.0
1,16,1,0,,,,4.8,0,0,1.0,0.0
1,17,1,0,,,,5.1,0,0,1.1,0.0
1,18,1,0,,,,5.0,0,0,1.1,0.0
1,19,1,0,,,,5.0,0,0,1.1,0.0
1,20,1,0,,,,5.0,0,0,1.1,0.0
1,21,1,0,,,,5.0,0,0,1.1,0.0
1,22,1,0,,,,5.0,0,0,1.0,0.0
1,23,1,0,,,,5.1,0,0,1.1,0.0
1,24,1,0,,,,5.0,0,0,1.5,0.0
1,1,2,0,,,,5.0,0,0,1.3,0.0
1,2,2,0,,,,5.1,0,0,1.1,0.0
1,3,2,0,,,,5.0,0,0,1.1,0.0
1,4,2,0,,,,5.1,0,0,1.2,0.0
1,5,2,0,,,,5.1,0,0,1.7,0.0
1,6,2,0,,,,5.0,0,0,1.1,0.0
1,7,2,0,,,,5.5,0,0,1.1,0.0
1,8,2,0,,,,5.4,0,0,2.4,9.0
1,9,2,0,,,,5.3,0,0,2.0,104.0
1,10,2,0,,,,5.4,0,0,2.0,303.0
1,11,2,0,,,,5.3,0,0,1.9,442.0
1,12,2,0,,,,5.4,0,0,1.3,498.0
1,13,2,0,,,,5.4,0,0,2.0,389.0
1,14,2,0,,,,5.4,0,0,1.9,208.0
1,15,2,0,,,,5.4,0,0,1.3,37.0
1,16,2,0,,,,5.6,0,0,2.0,0.0
1,17,2,0,,,,5.4,0,0,2.0,0.0
1,18,2,0,,,,5.2,0,0,1.7,0.0
1,19,2,0,,,,5.2,0,0,1.5,0.0
1,20,2,0,,,,5.0,0,0,1.1,0.0
1,21,2,0,,,,5.1,0,0,1.7,0.0
1,22,2,0,,,,5.1,0,0,1.1,0.0
1,23,2,0,,,,5.0,0,0,1.1,0.0
1,24,2,0,,,,5.0,0,0,1.1,0.0
1,1,3,0,,,,5.0,0,0,1.1,0.0
1,2,3,0,,,,5.0,0,0,1.7,0.0
1,3,3,0,,,,5.0,0,0,1.2,0.0
1,4,3,0,,,,5.1,0,0,1.2,0.0
1,5,3,0,,,,5.0,0,0,1.2,0.0
1,6,3,0,,,,8.5,0,0,1.2,0.0
1,7,3,0,,,,14.6,0,0,2.5,0.0
1,8,3,0,,,,14.3,0,0,25.9,0.0
1,9,3,0,,,,14.2,0,0,17.2,12.0
1,10,3,0,,,,18.0,0,0,14.3,22.0
1,11,3,0,,,,19.0,0,0,13.4,28.0
1,12,3,0,,,,20.1,0,0,20.7,78.0
1,13,3,0,,,,22.3,0,0,17.7,259.0
1,14,3,0,,,,23.2,0,0,18.8,228.0
1,15,3,0,,,,22.6,0,0,17.5,29.0
1,16,3,0,,,,18.8,0,0,18.5,0.0
1,17,3,0,,,,10.8,0,0,17.5,0.0
1,18,3,0,,,,10.9,0,0,17.0,0.0
1,19,3,0,,,,6.0,0,0,17.0,0.0
1,20,3,0,,,,5.0,0,0,2.1,0.0
1,21,3,0,,,,5.1,0,0,1.1,0.0
1,22,3,0,,,,5.2,0,0,1.2,0.0
1,23,3,0,,,,5.2,0,0,1.7,0.0
1,24,3,0,,,,5.0,0,0,1.1,0.0
1,1,4,0,,,,5.0,0,0,1.2,0.0
1,2,4,0,,,,5.0,0,0,1.1,0.0
1,3,4,0,,,,5.0,0,0,1.6,0.0
1,4,4,0,,,,5.1,0,0,1.2,0.0
1,5,4,0,,,,5.5,0,0,1.1,0.0
